Jugador_Base;Ranking;Jugador_Comparable;Similitud_Coseno
Hank Aaron;1;Al Simmons;0,9982
Hank Aaron;2;Chris Sabo;0,9982
Hank Aaron;3;Bob Elliott;0,9947
Hank Aaron;4;Joe Harris;0,9941
Hank Aaron;5;Mark Vientos;0,9921
Tommie Aaron;1;Reggie Cleveland;1,0
Tommie Aaron;2;Ellis Clary;1,0
Tommie Aaron;3;Zack Collins;1,0
Tommie Aaron;4;Randy Tomlin;1,0
Tommie Aaron;5;Jim McGlothlin;1,0
Ed Abbaticchio;1;Reggie Cleveland;1,0
Ed Abbaticchio;2;Ellis Clary;1,0
Ed Abbaticchio;3;Zack Collins;1,0
Ed Abbaticchio;4;Randy Tomlin;1,0
Ed Abbaticchio;5;Jim McGlothlin;1,0
Jeff Abbott;1;Reggie Cleveland;1,0
Jeff Abbott;2;Ellis Clary;1,0
Jeff Abbott;3;Zack Collins;1,0
Jeff Abbott;4;Randy Tomlin;1,0
Jeff Abbott;5;Jim McGlothlin;1,0
Kurt Abbott;1;Mark Parent;0,9926
Kurt Abbott;2;David Hensley;0,9912
Kurt Abbott;3;Jim Willis;0,9911
Kurt Abbott;4;Gorkys Hernandez;0,9911
Kurt Abbott;5;Eric Soderholm;0,9911
Bobby Abreu;1;Buck Leonard;0,9853
Bobby Abreu;2;Don Slaught;0,9843
Bobby Abreu;3;Benny Agbayani;0,976
Bobby Abreu;4;Earle Combs;0,9747
Bobby Abreu;5;Alec Bohm;0,9706
Jose Abreu;1;Carney Lansford;0,9936
Jose Abreu;2;Ryan Braun;0,9865
Jose Abreu;3;Pepper Bassett;0,9845
Jose Abreu;4;Kazuo Matsui;0,9835
Jose Abreu;5;Terry Steinbach;0,9826
Wilyer Abreu;1;Bill Sherdel;1,0
Wilyer Abreu;2;Shogo Akiyama;1,0
Wilyer Abreu;3;Ray Collins;1,0
Wilyer Abreu;4;Johnny Taylor;1,0
Wilyer Abreu;5;Jimmy Ring;1,0
Bill Abstein;1;Morrie Rath;0,995
Bill Abstein;2;Omar Vizquel;0,9948
Bill Abstein;3;Johnie Scott;0,9942
Bill Abstein;4;Arlie Latham;0,9902
Bill Abstein;5;Chuck Knoblauch;0,9897
Luisangel Acuña;1;Reggie Cleveland;1,0
Luisangel Acuña;2;Ellis Clary;1,0
Luisangel Acuña;3;Zack Collins;1,0
Luisangel Acuña;4;Randy Tomlin;1,0
Luisangel Acuña;5;Jim McGlothlin;1,0
Ronald Acuña;1;Josh Donaldson;0,996
Ronald Acuña;2;Anthony Volpe;0,9861
Ronald Acuña;3;Rickey Henderson;0,9837
Ronald Acuña;4;Grady Sizemore;0,9804
Ronald Acuña;5;Willie Randolph;0,98
Jerry Adair;1;Leroy Morney;0,9796
Jerry Adair;2;John Britton;0,9667
Jerry Adair;3;Mark Christman;0,9627
Jerry Adair;4;Rey Ordonez;0,9531
Jerry Adair;5;Heinie Zimmerman;0,9489
Willy Adames;1;Christian Yelich;0,9948
Willy Adames;2;Lou Whitaker;0,9883
Willy Adames;3;Leody Taveras;0,986
Willy Adames;4;Mickey Cochrane;0,9753
Willy Adames;5;Brad Hawpe;0,9741
Babe Adams;1;Isaac Collins;0,9995
Babe Adams;2;Johnny Gooch;0,9994
Babe Adams;3;Rob Refsnyder;0,9994
Babe Adams;4;Felix Mantilla;0,9993
Babe Adams;5;Gentry Jessup;0,9968
Emery Adams;1;Mark Clark;1,0
Emery Adams;2;George Meakim;1,0
Emery Adams;3;Johnny Morrison;1,0
Emery Adams;4;Rob Butler;1,0
Emery Adams;5;Ed Taubensee;1,0
Lane Adams;1;Reggie Cleveland;1,0
Lane Adams;2;Ellis Clary;1,0
Lane Adams;3;Zack Collins;1,0
Lane Adams;4;Randy Tomlin;1,0
Lane Adams;5;Jim McGlothlin;1,0
Matt Adams;1;Enrique Hernandez;0,9849
Matt Adams;2;Fernando Tatis;0,976
Matt Adams;3;Reggie Smith;0,9744
Matt Adams;4;Johnny Bench;0,9739
Matt Adams;5;Brandon Marsh;0,9689
Sparky Adams;1;Hal Janvrin;0,9594
Sparky Adams;2;Henry Spearman;0,9588
Sparky Adams;3;Del Ennis;0,9564
Sparky Adams;4;Ed Charles;0,9507
Sparky Adams;5;Tony Taylor;0,9474
Spencer Adams;1;Brian Anderson;1,0
Spencer Adams;2;Jerry Zimmerman;1,0
Spencer Adams;3;Anthony Reyes;1,0
Spencer Adams;4;Flint Rhem;1,0
Spencer Adams;5;Felix Doubront;1,0
Joe Adcock;1;Jose Uribe;0,9906
Joe Adcock;2;Jimmie Wilson;0,98
Joe Adcock;3;Carl Everett;0,979
Joe Adcock;4;Andy Pafko;0,9695
Joe Adcock;5;Franklin Stubbs;0,966
Ehire Adrianza;1;Carl Erskine;0,9998
Ehire Adrianza;2;Shane Reynolds;0,999
Ehire Adrianza;3;James McCann;0,9989
Ehire Adrianza;4;Paul Derringer;0,9989
Ehire Adrianza;5;Tommy Gregg;0,9981
Benny Agbayani;1;Darrell Porter;0,9844
Benny Agbayani;2;Leslie Green;0,9815
Benny Agbayani;3;Hank Gowdy;0,9789
Benny Agbayani;4;Hank Thompson;0,9787
Benny Agbayani;5;Bobby Abreu;0,976
Tommie Agee;1;Cody Ross;0,9941
Tommie Agee;2;Ken Caminiti;0,9935
Tommie Agee;3;Ken Griffey;0,9929
Tommie Agee;4;Milton Bradley;0,9927
Tommie Agee;5;George Watkins;0,9924
