Jugador_Base;Ranking;Jugador_Comparable;Similitud_Coseno
Hank Aaron;1;Harmon Killebrew;0,931
Hank Aaron;2;Ernie Banks;0,9129
Hank Aaron;3;Dick Groat;0,8428
Hank Aaron;4;Don Mattingly;0,8265
Hank Aaron;5;Ken Boyer;0,8204
Don Aase;1;Wilson Alvarez;1,0
Don Aase;2;Gio Gonzalez;1,0
Don Aase;3;Mitch Williams;1,0
Don Aase;4;Ken Forsch;1,0
Don Aase;5;Ricky Romero;1,0
Jim Abbott;1;Dennis Leonard;0,9943
Jim Abbott;2;Sid Bream;0,9943
Jim Abbott;3;Dave Dravecky;0,9943
Jim Abbott;4;Mark Teahen;0,9943
Jim Abbott;5;Ron Oester;0,9914
Ted Abernathy;1;Wayne Granger;1,0
Ted Abernathy;2;Stu Miller;1,0
Ted Abernathy;3;Dick Radatz;1,0
Ted Abernathy;4;Ron Perranoski;1,0
Ted Abernathy;5;Lindy McDaniel;1,0
CJ Abrams;1;Kevin Young;1,0
CJ Abrams;2;Yonder Alonso;1,0
CJ Abrams;3;Oscar Zamora;1,0
CJ Abrams;4;Gary Alexander;1,0
CJ Abrams;5;Mike Young;1,0
Bobby Abreu;1;Charlie Blackmon;0,9045
Bobby Abreu;2;Edwin Encarnacion;0,8989
Bobby Abreu;3;Jason Kipnis;0,8987
Bobby Abreu;4;Jayson Werth;0,8987
Bobby Abreu;5;Travis Hafner;0,8987
Jose Abreu;1;Jose Fernandez;0,7856
Jose Abreu;2;J. A. Happ;0,7543
Jose Abreu;3;Troy Tulowitzki;0,7372
Jose Abreu;4;Scott Podsednik;0,7092
Jose Abreu;5;Mike Trout;0,7085
Wilyer Abreu;1;Patrick Bailey;1,0
Wilyer Abreu;2;Tucker Barnhart;1,0
Wilyer Abreu;3;Pokey Reese;1,0
Wilyer Abreu;4;Trent Grisham;1,0
Wilyer Abreu;5;Roberto Perez;1,0
Ronald Acuña;1;Aaron Judge;0,7256
Ronald Acuña;2;Josh Donaldson;0,7065
Ronald Acuña;3;Cody Bellinger;0,7052
Ronald Acuña;4;Freddie Freeman;0,6219
Ronald Acuña;5;Corbin Carroll;0,6084
Willy Adames;1;Neil Allen;1,0
Willy Adames;2;Oscar Gamble;1,0
Willy Adames;3;Homer Bailey;1,0
Willy Adames;4;Bill Doran;1,0
Willy Adames;5;Jorge Orta;1,0
Babe Adams;1;Jim Bagby;1,0
Babe Adams;2;Red Lucas;1,0
Babe Adams;3;Ivey Wingo;1,0
Babe Adams;4;Dolf Luque;1,0
Babe Adams;5;Hans Lobert;1,0
Jo Adell;1;Kevin Young;1,0
Jo Adell;2;Yonder Alonso;1,0
