Jugador_Base;Ranking;Jugador_Comparable;Correlacion_Pearson
A. J. Pierzynski;1;Jacoby Ellsbury;0,8705
A. J. Pierzynski;2;Tony Batista;0,8181
A. J. Pierzynski;3;Jo-Jo White;0,8036
A. J. Pierzynski;4;Richard Hidalgo;0,7994
A. J. Pierzynski;5;David Freese;0,7939
AJ Pollock;1;Rick Ferrell;0,9603
AJ Pollock;2;Cool Papa Bell;0,9225
AJ Pollock;3;Ducky Holmes;0,8812
AJ Pollock;4;Harry Davis;0,8665
AJ Pollock;5;Ron Fairly;0,8573
Aaron Boone;1;Pinky Whitney;0,9713
Aaron Boone;2;John Valentin;0,9217
Aaron Boone;3;Paul Waner;0,9057
Aaron Boone;4;Monte Cross;0,9051
Aaron Boone;5;Andrew Benintendi;0,88
Aaron Hicks;1;Darren Daulton;0,9174
Aaron Hicks;2;George Davis;0,9067
Aaron Hicks;3;Curt Flood;0,8777
Aaron Hicks;4;Kevin Mitchell;0,8679
Aaron Hicks;5;Tris Speaker;0,861
Aaron Hill;1;Bill Doran;0,884
Aaron Hill;2;Joe Gordon;0,8223
Aaron Hill;3;Kyle Seager;0,777
Aaron Hill;4;Matty McIntyre;0,7701
Aaron Hill;5;David Murphy;0,7527
Aaron Judge;1;Devon White;0,9321
Aaron Judge;2;Roy Sievers;0,9264
Aaron Judge;3;Ozzie Smith;0,9133
Aaron Judge;4;Shawn Green;0,8943
Aaron Judge;5;Rafael Palmeiro;0,8829
Aaron Rowand;1;Juan Pierre;0,9182
Aaron Rowand;2;Colby Rasmus;0,8989
Aaron Rowand;3;Garry Maddox;0,8952
Aaron Rowand;4;Michael Conforto;0,8927
Aaron Rowand;5;Hank Bauer;0,875
Abner Dalrymple;1;Sparky Adams;0,9126
Abner Dalrymple;2;Cupid Childs;0,9074
Abner Dalrymple;3;Mack Jones;0,8893
Abner Dalrymple;4;Joe Orsulak;0,838
Abner Dalrymple;5;Tony Oliva;0,8229
Adam Dunn;1;John Clapp;0,8458
Adam Dunn;2;Ichiro Suzuki;0,8316
Adam Dunn;3;Donovan Solano;0,8115
Adam Dunn;4;Doc Bushong;0,7951
Adam Dunn;5;Elston Howard;0,7644
Adam Frazier;1;Preston Wilson;0,9397
Adam Frazier;2;Darin Erstad;0,8706
Adam Frazier;3;Bill Melton;0,8479
Adam Frazier;4;Aaron Boone;0,8462
Adam Frazier;5;Trot Nixon;0,8399
Adam Jones;1;Brian Dozier;0,9272
Adam Jones;2;Mark Lemke;0,9023
Adam Jones;3;Josh Donaldson;0,8887
Adam Jones;4;Clint Thomas;0,8872
Adam Jones;5;Stan Spence;0,8642
Adam Kennedy;1;Shannon Stewart;0,9007
Adam Kennedy;2;Robbie Grossman;0,8858
Adam Kennedy;3;Pat Meares;0,8683
Adam Kennedy;4;Dave Foutz;0,8626
Adam Kennedy;5;Matt Wieters;0,8435
Adam LaRoche;1;Earle Combs;0,8955
Adam LaRoche;2;Bingo DeMoss;0,8358
Adam LaRoche;3;Mike Macfarlane;0,817
Adam LaRoche;4;Steve Kemp;0,8131
Adam LaRoche;5;Giancarlo Stanton;0,8083
Adam Lind;1;Eric McNair;0,8248
Adam Lind;2;Doug DeCinces;0,7797
Adam Lind;3;Moises Alou;0,7744
Adam Lind;4;Reggie Smith;0,7741
Adam Lind;5;Darryl Hamilton;0,7707
Adrian Beltre;1;Mark Trumbo;0,8975
Adrian Beltre;2;Butch Wynegar;0,8442
Adrian Beltre;3;Bill Tuttle;0,8102
Adrian Beltre;4;Matt Olson;0,7899
Adrian Beltre;5;Bob Ferguson;0,7712
Adrian Gonzalez;1;Mike Donlin;0,9423
Adrian Gonzalez;2;Ripper Collins;0,9298
Adrian Gonzalez;3;Chase Utley;0,9078
Adrian Gonzalez;4;Johnny Callison;0,8994
Adrian Gonzalez;5;Paul Sorrento;0,8894
Al Bridwell;1;Ken Williams;0,9551
Al Bridwell;2;Harry Stovey;0,945
Al Bridwell;3;Dante Bichette;0,9323
Al Bridwell;4;Whitey Witt;0,9229
Al Bridwell;5;Steve Brodie;0,9001
Al Bumbry;1;Ira Flagstead;0,8218
Al Bumbry;2;Gus Suhr;0,8099
Al Bumbry;3;Eric Hosmer;0,7994
Al Bumbry;4;Doc Lavan;0,7817
Al Bumbry;5;Tom Brookens;0,775
Al Cowens;1;Bill Joyce;0,9444
Al Cowens;2;Patrick Gillespie;0,8154
Al Cowens;3;Silver Flint;0,8126
Al Cowens;4;Stan Spence;0,8065
Al Cowens;5;Fernando Vina;0,7952
Al Dark;1;Patsy Donovan;0,9486
Al Dark;2;Roy Johnson;0,9119
Al Dark;3;Gene Freese;0,9111
Al Dark;4;Billy Butler;0,9083
Al Dark;5;Carlos Ruiz;0,8851
Al Kaline;1;Wil Cordero;0,8388
Al Kaline;2;Pop Smith;0,8021
Al Kaline;3;Jim Eisenreich;0,7859
Al Kaline;4;Chick Gandil;0,7714
Al Kaline;5;Carlos Gonzalez;0,7687
Al Lopez;1;Taffy Wright;0,9443
Al Lopez;2;Joe Sugden;0,9274
Al Lopez;3;Tony Kubek;0,9199
Al Lopez;4;Stephen Drew;0,8477
Al Lopez;5;Johnny Gooch;0,8386
Al Martin;1;Jon Jay;0,8735
Al Martin;2;Cupid Childs;0,8157
Al Martin;3;Jim O'Rourke;0,8087
Al Martin;4;Bucky Dent;0,7997
Al Martin;5;Jim Fregosi;0,7942
Al Oliver;1;Emmett Seery;0,9045
Al Oliver;2;Pete Runnels;0,8986
Al Oliver;3;Bill Killefer;0,8182
Al Oliver;4;Nemo Leibold;0,8029
Al Oliver;5;John Milligan;0,774
Al Simmons;1;Curt Welch;0,875
Al Simmons;2;Newt Allen;0,8398
Al Simmons;3;Tommy McCarthy;0,8333
