Jugador_Base;Ranking;Jugador_Comparable;Correlacion_Pearson
A. J. Burnett;1;Matt Chapman;0,8988
A. J. Burnett;2;Sammy Hale;0,8965
A. J. Burnett;3;Everett Scott;0,8889
A. J. Burnett;4;Doc Ayers;0,866
A. J. Burnett;5;Bill Sweeney;0,8479
A. J. Ellis;1;Burke Badenhop;0,8846
A. J. Ellis;2;Horacio Pina;0,8815
A. J. Ellis;3;Mike LaValliere;0,8721
A. J. Ellis;4;Bob Grim;0,8705
A. J. Ellis;5;Jonathon Niese;0,8676
A. J. Minter;1;Dave Tobik;1,0
A. J. Minter;2;Jeff Francis;1,0
A. J. Minter;3;Trevor Hoffman;1,0
A. J. Minter;4;Scott Aldred;1,0
A. J. Minter;5;Brad Havens;1,0
A. J. Pierzynski;1;Marcelino Lopez;0,9915
A. J. Pierzynski;2;Todd Williams;0,9469
A. J. Pierzynski;3;Dustin Garneau;0,9433
A. J. Pierzynski;4;Bill Voss;0,9247
A. J. Pierzynski;5;Paul Blackburn;0,9194
AJ Pollock;1;Ted Uhlaender;0,9354
AJ Pollock;2;Spec Shea;0,9063
AJ Pollock;3;Tony Piet;0,8869
AJ Pollock;4;Richard Dotson;0,8865
AJ Pollock;5;Jerry Turner;0,8645
Aaron Boone;1;Donne Wall;0,9767
Aaron Boone;2;Mike Harkey;0,953
Aaron Boone;3;Charlie Mason;0,9505
Aaron Boone;4;Mark Mulder;0,9466
Aaron Boone;5;Dennis Springer;0,9406
Aaron Bummer;1;Ernie Camacho;0,992
Aaron Bummer;2;Justin Duchscherer;0,992
Aaron Bummer;3;Jonathan Loaisiga;0,992
Aaron Bummer;4;Drew Storen;0,992
Aaron Bummer;5;Aaron Small;0,992
Aaron Cook;1;Josh Bard;0,947
Aaron Cook;2;Cliff Politte;0,9069
Aaron Cook;3;Luis Torrens;0,9023
Aaron Cook;4;Carl Mays;0,8933
Aaron Cook;5;George Winter;0,8753
Aaron Fultz;1;Greg Holland;1,0
Aaron Fultz;2;Sergio Romo;1,0
Aaron Fultz;3;Liam Hendriks;1,0
Aaron Fultz;4;Leniel Hooker;1,0
Aaron Fultz;5;Larry Casian;1,0
Aaron Harang;1;Bill Gleason;0,9875
Aaron Harang;2;Pablo Lopez;0,9313
Aaron Harang;3;Luis Gomez;0,9141
Aaron Harang;4;Joe Panik;0,8884
Aaron Harang;5;Scott Stratton;0,8837
Aaron Heilman;1;Walt Moryn;0,962
Aaron Heilman;2;Putsy Caballero;0,9606
Aaron Heilman;3;Tom Williams;0,9317
Aaron Heilman;4;Jake Daubert;0,9185
Aaron Heilman;5;Michael Saunders;0,904
Aaron Hicks;1;Chico Fernandez;0,9334
Aaron Hicks;2;Lance Cormier;0,9119
Aaron Hicks;3;Tomo Ohka;0,9087
Aaron Hicks;4;Bill Hands;0,9006
Aaron Hicks;5;Duke Cleveland;0,8991
Aaron Hill;1;Buck Crouse;0,9494
Aaron Hill;2;Bill Sudakis;0,9247
Aaron Hill;3;Max Scherzer;0,919
Aaron Hill;4;Sam Mertes;0,9049
Aaron Hill;5;Jack Graney;0,8903
Aaron Judge;1;Danys Baez;0,9502
Aaron Judge;2;Dan Meyer;0,9463
Aaron Judge;3;Harry Simpson;0,938
Aaron Judge;4;Adam Wainwright;0,937
Aaron Judge;5;Bob Seeds;0,9287
Aaron Laffey;1;Scot Thompson;0,9885
Aaron Laffey;2;Jesse Barfield;0,9772
Aaron Laffey;3;George Johnson;0,968
Aaron Laffey;4;Aroldis Chapman;0,9594
Aaron Laffey;5;Travis Snider;0,9483
Aaron Loup;1;T. J. McFarland;0,9463
Aaron Loup;2;Jack Hannahan;0,9041
Aaron Loup;3;Ernie Lombardi;0,8943
Aaron Loup;4;Flint Rhem;0,8846
Aaron Loup;5;Dan Ford;0,8765
Aaron Miles;1;Damian Jackson;0,9517
Aaron Miles;2;Birdie Cree;0,9033
Aaron Miles;3;Dick Tracewski;0,9023
Aaron Miles;4;Doc Scanlan;0,9008
Aaron Miles;5;Tatica Campos;0,8982
Aaron Nola;1;Johnny Moore;0,9362
Aaron Nola;2;Casey Patten;0,9122
Aaron Nola;3;Rawly Eastwick;0,9028
Aaron Nola;4;Erick Fedde;0,8993
Aaron Nola;5;Yorkis Perez;0,8827
Aaron Rowand;1;Fred Scherman;0,9305
Aaron Rowand;2;Cedric Mullins;0,8597
Aaron Rowand;3;Dick Gernert;0,8427
Aaron Rowand;4;Juan Soto;0,837
Aaron Rowand;5;Paul Richards;0,824
Aaron Sanchez;1;Jim Landis;0,9332
Aaron Sanchez;2;Farmer Vaughn;0,931
Aaron Sanchez;3;Julio Gotay;0,9217
Aaron Sanchez;4;Charles Fulmer;0,919
Aaron Sanchez;5;Dick Padden;0,9183
Aaron Sele;1;Sean Burnett;0,9861
Aaron Sele;2;Scott Barlow;0,9787
Aaron Sele;3;Brad Komminsk;0,9541
Aaron Sele;4;Al Lakeman;0,9322
Aaron Sele;5;Eric Stults;0,9266
Aaron Small;1;David Robertson;1,0
Aaron Small;2;Buddy Carlyle;1,0
Aaron Small;3;Ernie Camacho;1,0
Aaron Small;4;Jonathan Loaisiga;1,0
Aaron Small;5;Jorge Sosa;1,0
Aaron Ward;1;Emmet Heidrick;0,9862
Aaron Ward;2;Jake Stahl;0,9709
Aaron Ward;3;Kevin Mitchell;0,9661
Aaron Ward;4;Joe Lis;0,9512
Aaron Ward;5;Brian Tallet;0,9475
Abner Dalrymple;1;Bob Bruce;0,9751
Abner Dalrymple;2;Danny Santana;0,9359
Abner Dalrymple;3;Charlie Williams;0,9264
Abner Dalrymple;4;Ducky Holmes;0,9219
Abner Dalrymple;5;Donnie Sadler;0,9142
Abraham Almonte;1;Denny Lemaster;0,9437
Abraham Almonte;2;Willie Stargell;0,9198
Abraham Almonte;3;Ron Washington;0,9195
Abraham Almonte;4;Ted Alexander;0,9168
Abraham Almonte;5;Frank Owen;0,9151
Abraham Nunez;1;Earl Williams;0,9698
Abraham Nunez;2;Jesse Barber;0,902
Abraham Nunez;3;Vic Harris;0,8905
Abraham Nunez;4;George Grantham;0,8844
Abraham Nunez;5;Miguel Montero;0,8705
Ad Gumbert;1;Jeff Newman;0,9498
