Jugador_Base;Ranking;Jugador_Comparable;Correlacion_Pearson
A. J. Burnett;1;Tim Worrell;0,9895
A. J. Burnett;2;Tommy Greene;0,9783
A. J. Burnett;3;Jason Isringhausen;0,9734
A. J. Burnett;4;Scott Baker;0,9635
A. J. Burnett;5;Doug Fister;0,9542
A. J. Ellis;1;Rick Wilkins;0,9995
A. J. Ellis;2;Matt Holliday;0,9975
A. J. Ellis;3;Jay Bruce;0,9971
A. J. Ellis;4;Olmedo Saenz;0,997
A. J. Ellis;5;Milt Cuyler;0,9968
A. J. Pierzynski;1;Shin-Soo Choo;0,9976
A. J. Pierzynski;2;Martin Prado;0,9961
A. J. Pierzynski;3;Carlos Santana;0,9944
A. J. Pierzynski;4;Corey Hart;0,9926
A. J. Pierzynski;5;Kevin Youkilis;0,9922
Aaron Boone;1;Lyle Mouton;0,9908
Aaron Boone;2;Carmelo Castillo;0,9835
Aaron Boone;3;Yoenis Cespedes;0,9816
Aaron Boone;4;Keith Hernandez;0,9765
Aaron Boone;5;Barry Lyons;0,9752
Aaron Cook;1;Ben Sheets;0,9929
Aaron Cook;2;Brandon McCarthy;0,9909
Aaron Cook;3;Bill Landrum;0,9888
Aaron Cook;4;John Lackey;0,9869
Aaron Cook;5;LaTroy Hawkins;0,9851
Aaron Fultz;1;Orlando Palmeiro;0,9454
Aaron Fultz;2;Randy Myers;0,9337
Aaron Fultz;3;Luis Sojo;0,9297
Aaron Fultz;4;Fernando Valenzuela;0,9289
Aaron Fultz;5;Kyle Lohse;0,9221
Aaron Harang;1;Chad Billingsley;0,9977
Aaron Harang;2;Gio Gonzalez;0,9976
Aaron Harang;3;Kris Benson;0,9971
Aaron Harang;4;Brandon Morrow;0,9958
Aaron Harang;5;Kyle Kendrick;0,9951
Aaron Hill;1;Luis Rivas;0,9987
Aaron Hill;2;Joe Carter;0,9929
Aaron Hill;3;Andres Galarraga;0,9926
Aaron Hill;4;Eric Chavez;0,9923
Aaron Hill;5;Randy Milligan;0,9921
Aaron Ledesma;1;Bip Roberts;0,9961
Aaron Ledesma;2;Mark Grudzielanek;0,9939
Aaron Ledesma;3;Dave Hollins;0,9933
Aaron Ledesma;4;Chris Gwynn;0,9926
