Id_Equipo;Nombre_Equipo;Anio;Salario_Promedio_Equipo;Porcentaje_Victorias;Salario_Relativo;Porcentaje_Victorias_Predicho;Error_Prediccion
49408;Atlanta Braves;1985;673045,45;0,4074;0,9615384615384616;0,9441003351768058;-0,5367003351768058
49409;Baltimore Orioles;1985;525486,91;0,5155;0,8076923076923077;0,790254181330652;-0,274754181330652
49410;Boston Red Sox;1985;435902,4;0,5;0,34615384615384615;0,3287157197921904;0,1712842802078096
49411;California Angels;1985;515281,93;0,5556;0,6923076923076923;0,6748695659460365;-0,11926956594603655
49412;Chicago White Sox;1985;468865,62;0,5247;0,4230769230769231;0,4056387967152673;0,11906120328473274
49413;Chicago Cubs;1985;577405,32;0,4783;0,8846153846153846;0,8671772582537288;-0,3888772582537288
49414;Cincinnati Reds;1985;379996,23;0,5528;0,15384615384615385;0,1364080274844981;0,41639197251550186
49415;Cleveland Indians;1985;327583,3;0,3704;0,11538461538461539;0,09794648902295962;0,2724535109770404
49416;Detroit Tigers;1985;517407,15;0,5217;0,7692307692307693;0,7517926428691135;-0,23009264286911346
49417;Houston Astros;1985;499652,55;0,5123;0,6153846153846154;0,5979464890229597;-0,08564648902295968
49418;Kansas City Royals;1985;423689,95;0,5617;0,2692307692307692;0,25179264286911346;0,3099073571308865
49419;Los Angeles Dodgers;1985;476865,96;0,5864;0,5384615384615384;0,5210234120998827;0,06537658790011736
49420;Minnesota Twins;1985;303411,63;0,4753;0,07692307692307693;0,059484950561421154;0,41581504943857883
49421;Milwaukee Brewers;1985;593900,37;0,441;0,9230769230769231;0,9056387967152674;-0,46463879671526737
49422;Montreal Expos;1985;473508,3;0,5217;0,5;0,48256187363834424;0,03913812636165581
49423;New York Yankees;1985;711910,2;0,6025;1,0;0,9825618736383442;-0,3800618736383442
49424;New York Mets;1985;515941,05;0,6049;0,7307692307692307;0,713331104407575;-0,10843110440757497
49425;Oakland Athletics;1985;431362,19;0,4753;0,3076923076923077;0,29025418133065195;0,18504581866934805
49426;Philadelphia Phillies;1985;532892,95;0,463;0,8461538461538461;0,8287157197921904;-0,36571571979219036
49427;Pittsburgh Pirates;1985;485657,89;0,354;0,5769230769230769;0,5594849505614211;-0,20548495056142113
49428;San Diego Padres;1985;501662,86;0,5123;0,6538461538461539;0,6364080274844981;-0,12410802748449812
49429;Seattle Mariners;1985;256277,78;0,4568;0,038461538461538464;0,021023412099882694;0,4357765879001173
49430;San Francisco Giants;1985;411085,7;0,3827;0,23076923076923078;0,21333110440757502;0,16936889559242496
49431;St. Louis Cardinals;1985;472683,32;0,6235;0,46153846153846156;0,4441003351768058;0,17939966482319425
49432;Texas Rangers;1985;383825,0;0,3851;0,19230769230769232;0,17486956594603656;0,21023043405396344
49433;Toronto Blue Jays;1985;440627,5;0,6149;0,38461538461538464;0,3671772582537289;0,24772274174627112
49434;Atlanta Braves;1986;589751,24;0,4472;0,9615384615384616;0,9441003351768058;-0,4969003351768058
49435;Baltimore Orioles;1986;448319,24;0,4506;0,5769230769230769;0,5594849505614211;-0,10888495056142111
49436;Boston Red Sox;1986;496628,93;0,5901;0,8076923076923077;0,790254181330652;-0,200154181330652
49437;California Angels;1986;497491,66;0,5679;0,8461538461538461;0,8287157197921904;-0,2608157197921904
49438;Chicago White Sox;1986;336090,94;0,4444;0,23076923076923078;0,21333110440757502;0,231068895592425
49439;Chicago Cubs;1986;555102,1;0,4375;0,9230769230769231;0,9056387967152674;-0,46813879671526737
49440;Cincinnati Reds;1986;396879,6;0,5309;0,46153846153846156;0,4441003351768058;0,08679966482319423
49441;Cleveland Indians;1986;251919,35;0,5185;0,07692307692307693;0,059484950561421154;0,4590150494385788
49442;Detroit Tigers;1986;456878,3;0,537;0,6538461538461539;0,6364080274844981;-0,09940802748449806
49443;Houston Astros;1986;411386,5;0,5926;0,5384615384615384;0,5210234120998827;0,07157658790011734
49444;Kansas City Royals;1986;465846,36;0,4691;0,6923076923076923;0,6748695659460365;-0,20576956594603651
49445;Los Angeles Dodgers;1986;466055,5;0,4506;0,7307692307692307;0,713331104407575;-0,26273110440757497
49446;Minnesota Twins;1986;397643,95;0,4383;0,5;0,48256187363834424;-0,04426187363834422
49447;Milwaukee Brewers;1986;355130,07;0,4783;0,3076923076923077;0,29025418133065195;0,18804581866934805
49448;Montreal Expos;1986;346987,5;0,4845;0,2692307692307692;0,25179264286911346;0,23270735713088653
49449;New York Yankees;1986;660509,04;0,5556;1,0;0,9825618736383442;-0,42696187363834426
49450;New York Mets;1986;549775,5;0,6667;0,8846153846153846;0,8671772582537288;-0,20047725825372886
49451;Oakland Athletics;1986;315465,19;0,4691;0,15384615384615385;0,1364080274844981;0,3326919725155019
49452;Philadelphia Phillies;1986;373876,32;0,5342;0,38461538461538464;0,3671772582537289;0,16702274174627113
49453;Pittsburgh Pirates;1986;373913,79;0,3951;0,4230769230769231;0,4056387967152673;-0,010538796715267307
49454;San Diego Padres;1986;455227,72;0,4568;0,6153846153846154;0,5979464890229597;-0,14114648902295968
49455;Seattle Mariners;1986;229165,73;0,4136;0,038461538461538464;0,021023412099882694;0,39257658790011735
49456;San Francisco Giants;1986;319535,71;0,5123;0,19230769230769232;0,17486956594603656;0,33743043405396345
49457;St. Louis Cardinals;1986;365741,11;0,4907;0,34615384615384615;0,3287157197921904;0,16198428020780964
49458;Texas Rangers;1986;259350,73;0,537;0,11538461538461539;0,09794648902295962;0,43905351097704043
49459;Toronto Blue Jays;1986;467075,81;0,5309;0,7692307692307693;0,7517926428691135;-0,22089264286911348
49460;Atlanta Braves;1987;517017,5;0,4286;0,8076923076923077;0,790254181330652;-0,36165418133065197
49461;Baltimore Orioles;1987;463342,43;0,4136;0,6153846153846154;0,5979464890229597;-0,18434648902295964
49462;Boston Red Sox;1987;676277,8;0,4815;0,9615384615384616;0,9441003351768058;-0,4626003351768058
49463;California Angels;1987;475685,15;0,463;0,6538461538461539;0,6364080274844981;-0,17340802748449807
49464;Chicago White Sox;1987;443410,13;0,4753;0,46153846153846156;0,4441003351768058;0,031199664823194195
49465;Chicago Cubs;1987;550307,65;0,472;0,8846153846153846;0,8671772582537288;-0,39517725825372885
