Id_Jugador;Nombre_Completo;Porcentaje_Fildeo_Regular;Porcentaje_Fildeo_Postemporada;Porcentaje_Fildeo_Postemporada_Predicho;Error_Prediccion
339783;Don Aase;0,9395;1,0;0,9369516536380036;0,06304834636199641
339798;Kurt Abbott;0,9653;0,9583;0,9627516536380036;-0,004451653638003594
339801;Paul Abbott;0,958;1,0;0,9554516536380036;0,04454834636199645
339822;Bryan Abreu;0,9811;1,0;0,9785516536380036;0,02144834636199644
339825;Jose Abreu;0,9924;1,0;0,9898516536380035;0,010148346361996463
339830;Bill Abstein;0,9774;0,9367;0,9748516536380036;-0,03815165363800366
339833;Alfredo Aceves;0,9118;1,0;0,9092516536380036;0,09074834636199636
339838;Jim Acker;0,9915;1,0;0,9889516536380036;0,011048346361996364
339851;Luisangel Acuña;0,9883;1,0;0,9857516536380035;0,014248346361996456
339854;Jerry Adair;0,9808;1,0;0,9782516536380036;0,021748346361996407
339857;Willy Adames;0,9684;0,9748;0,9658516536380036;0,008948346361996373
339858;Jason Adam;0,9565;1,0;0,9539516536380036;0,046048346361996395
339863;Babe Adams;0,9765;1,0;0,9739516536380036;0,026048346361996377
339876;Emery Adams;0,9204;1,0;0,9178516536380036;0,08214834636199642
339886;Matt Adams;0,9918;1,0;0,9892516536380036;0,010748346361996397
339889;Mike Adams;0,9868;1,0;0,9842516536380036;0,0157483463619964
339897;Sparky Adams;0,9633;1,0;0,9607516536380036;0,03924834636199637
339903;Joe Adcock;0,9931;0,9848;0,9905516536380036;-0,005751653638003562
339927;Jeremy Affeldt;0,9463;1,0;0,9437516536380036;0,05624834636199638
339932;Sam Agnew;0,9551;1,0;0,9525516536380035;0,04744834636199646
339939;Jesus Aguilar;0,9918;1,0;0,9892516536380036;0,010748346361996397
339941;Rick Aguilera;0,9822;1,0;0,9796516536380036;0,02034834636199645
339947;Willie Aikens;0,9912;0,982;0,9886516536380036;-0,006651653638003574
339968;Hanser Alberto;0,9783;0,9333;0,9757516536380035;-0,04245165363800352
339972;Ozzie Albies;0,9894;0,9763;0,9868516536380035;-0,010551653638003589
339978;Al Alburquerque;0,9787;1,0;0,9761516536380036;0,023848346361996398
339986;Sandy Alcantara;0,9317;1,0;0,9291516536380036;0,07084834636199644
339997;Vic Aldridge;0,9694;1,0;0,9668516536380036;0,03314834636199637
340005;Doyle Alexander;0,9608;1,0;0,9582516536380036;0,041748346361996425
340012;Manny Alexander;0,9624;1,0;0,9598516536380036;0,04014834636199638
340014;Pete Alexander;0,9847;0,9444;0,9821516536380036;-0,03775165363800359
340015;Scott Alexander;0,9419;0,5;0,9393516536380035;-0,43935165363800355
340017;Ted Alexander;0,8628;0,75;0,8602516536380036;-0,1102516536380036
340022;Jorge Alfaro;0,9904;1,0;0,9878516536380035;0,012148346361996465
340023;Antonio Alfonseca;0,9664;1,0;0,9638516536380036;0,036148346361996375
340025;Edgardo Alfonzo;0,9778;0,9912;0,9752516536380036;0,01594834636199638
340028;Luis Alicea;0,9717;0,973;0,9691516536380036;0,00384834636199638
340046;Cody Allen;0,9388;1,0;0,9362516536380036;0,06374834636199644
340047;Dick Allen;0,9745;0,9655;0,9719516536380036;-0,006451653638003596
340072;Newt Allen;0,9424;0,9524;0,9398516536380036;0,01254834636199642
340080;Toussaint Allen;0,9851;1,0;0,9825516536380036;0,017448346361996436
340081;Gene Alley;0,9708;0,9429;0,9682516536380036;-0,025351653638003624
340110;Roberto Alomar;0,9836;0,9747;0,9810516536380036;-0,006351653638003607
340112;Sandy Alomar;0,9895;0,9805;0,9869516536380036;-0,006451653638003596
340113;Pete Alonso;0,9923;0,992;0,9897516536380035;0,002248346361996445
340115;Yonder Alonso;0,9932;1,0;0,9906516536380036;0,00934834636199644
340126;Dan Altavilla;1,0;1,0;0,9974516536380036;0,002548346361996412
340133;Nick Altrock;0,9623;1,0;0,9597516536380036;0,04024834636199637
340134;Jose Altuve;0,9845;0,9654;0,9819516536380036;-0,016551653638003594
340145;Francisco Alvarez;0,9889;0,9912;0,9863516536380036;0,004848346361996381
340150;Jose Alvarado;0,9535;1,0;0,9509516536380036;0,0490483463619964
340156;Pedro Alvarez;0,9502;0,9545;0,9476516536380036;0,0068483463619963825
340163;Wilson Alvarez;0,9715;1,0;0,9689516536380036;0,031048346361996382
340171;Rich Amaral;0,978;1,0;0,9754516536380036;0,02454834636199643
340182;Red Ames;0,9373;0,75;0,9347516536380036;-0,1847516536380036
340184;Alfredo Amezaga;0,9799;1,0;0,9773516536380036;0,02264834636199642
340199;Brian Anderson;0,9558;1,0;0,9532516536380036;0,04674834636199643
340201;Brett Anderson;0,9614;1,0;0,9588516536380036;0,04114834636199638
340203;Brian Anderson;0,9661;0,9091;0,9635516536380035;-0,05445165363800353
340211;Dave Anderson;0,9711;1,0;0,9685516536380036;0,03144834636199645
340217;Fred Anderson;0,9699;1,0;0,9673516536380036;0,03264834636199643
340221;Grant Anderson;0,9444;1,0;0,9418516536380036;0,058148346361996395
340224;Ian Anderson;0,96;1,0;0,9574516536380036;0,04254834636199645
340226;Jim Anderson;0,9539;1,0;0,9513516536380036;0,04864834636199644
340234;Larry Andersen;0,9084;1,0;0,9058516536380036;0,09414834636199643
340238;Marlon Anderson;0,976;1,0;0,9734516536380036;0,026548346361996433
340241;Nick Anderson;0,85;1,0;0,8474516536380036;0,15254834636199643
340251;Tim Anderson;0,9623;0,9583;0,9597516536380036;-0,0014516536380035916
